Year,Month,Day,date,TSU,EQ,Name,Location,Country,Type,Status,intensity,type
1659,9,30,9/30/1659,,EQ,San Salvador,El Salvador,El Salvador,Stratovolcano,Historical,3,v
1659,11,11,11/11/1659,TSU,,Teon,Banda Sea,Pacific Ocean,Stratovolcano,Historical,4,v
1660,2,,2/1/1660,,,Teon,Banda Sea,Pacific Ocean,Stratovolcano,Historical,4,v
1660,11,3,11/3/1660,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,4,v
1660,,,1/1/1660,TSU,,Long Island,New Guinea-NE of,Papua New Guinea,Complex volcano,Historical,6,v
1663,8,16,8/16/1663,,,Usu,Hokkaido-Japan,Japan,Stratovolcano,Historical,5,v
1669,3,11,3/11/1669,,EQ,Etna,Italy,Italy,Stratovolcano,Historical,3,v
1669,3,19,3/19/1669,,,Etna,Italy,Italy,Stratovolcano,Historical,3,v
1672,8,4,8/4/1672,,,Merapi,Java,Indonesia,Stratovolcano,Historical,3,v
1673,5,20,5/20/1673,TSU,,Gamkonora,Halmahera-Indonesia,Indonesia,Stratovolcano,Historical,5,v
1682,8,12,8/12/1682,,,Vesuvius,Italy,Italy,Complex volcano,Historical,3,v
1690,,,1/1/1690,,,Guntur,Java,Indonesia,Complex volcano,Historical,3,v
1692,6,4,6/4/1692,,,Serua,Banda Sea,Pacific Ocean,Stratovolcano,Historical,4,v
1693,2,13,2/13/1693,TSU,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,4,v
1694,11,20,11/20/1694,,,Banda Api,Banda Sea,Pacific Ocean,Caldera,Historical,3,v
1698,5,,5/1/1698,TSU,,Vesuvius,Italy,Italy,Complex volcano,Historical,3,v
1698,,,1/1/1698,,,Cereme,Java,Indonesia,Stratovolcano,Historical,3,v
1698,,,1/1/1698,,,Cotopaxi,Ecuador,Ecuador,Stratovolcano,Historical,3,v
1707,12,16,12/16/1707,,EQ,Fuji,Honshu-Japan,Japan,Stratovolcano,Historical,4,v
1711,12,11,12/11/1711,,,Awu,Sangihe Is-Indonesia,Indonesia,Stratovolcano,Historical,3,v
1716,9,24,9/24/1716,TSU,EQ,Taal,Luzon-Philippines,Philippines,Stratovolcano,Historical,4,v
1716,11,9,11/9/1716,,,Kirishima,Kyushu-Japan,Japan,Shield volcano,Historical,3,v
1717,2,7,2/7/1717,,,Kirishima,Kyushu-Japan,Japan,Shield volcano,Historical,3,v
1717,8,4,8/4/1717,,,Bardarbunga,Iceland-NE,Iceland,Stratovolcano,Historical,3,v
1717,8,27,8/27/1717,,,Fuego,Guatemala,Guatemala,Stratovolcano,Historical,3,v
1721,5,11,5/11/1721,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,5,v
1727,8,3,8/3/1727,,,Oraefajokull,Iceland-SE,Iceland,Stratovolcano,Historical,4,v
1730,,,1/1/1730,,,Raung,Java,Indonesia,Stratovolcano,Historical,3,v
1741,8,23,8/23/1741,TSU,,Oshima-Oshima,Hokkaido-Japan,Japan,Stratovolcano,Historical,4,v
1742,6,15,6/15/1742,,,Cotopaxi,Ecuador,Ecuador,Stratovolcano,Historical,3,v
1742,12,9,12/9/1742,,,Cotopaxi,Ecuador,Ecuador,Stratovolcano,Historical,3,v
1749,8,11,8/11/1749,TSU,EQ,Taal,Luzon-Philippines,Philippines,Stratovolcano,Historical,3,v
1754,5,13,5/13/1754,TSU,EQ,Taal,Luzon-Philippines,Philippines,Stratovolcano,Historical,4,v
1755,10,17,10/17/1755,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,4,v
1760,,,1/1/1760,,,Makian,Halmahera-Indonesia,Indonesia,Stratovolcano,Historical,4,v
1766,4,5,4/5/1766,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,4,v
1766,7,20,7/20/1766,,,Mayon,Luzon-Philippines,Philippines,Stratovolcano,Historical,3,v
1768,4,4,4/4/1768,,,Cotopaxi,Ecuador,Ecuador,Stratovolcano,Historical,4,v
1772,5,9,5/9/1772,TSU,,Gamalama,Halmahera-Indonesia,Indonesia,Stratovolcano,Historical,3,v
1772,8,12,8/12/1772,,,Papandayan,Java,Indonesia,Stratovolcano,Historical,3,v
1775,,,1/1/1775,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,Stratovolcano,Historical,3,v
1775,,,1/1/1775,,,Gamalama,Halmahera-Indonesia,Indonesia,Stratovolcano,Historical,3,v
1778,,,1/1/1778,,,Raikoke,Kuril Is,Russia,Stratovolcano,Historical,4,v
1779,11,8,11/8/1779,,,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano,Historical,4,v
1780,2,9,2/9/1780,,,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano,Historical,4,v
1780,7,27,7/27/1780,,,Aoga-shima,Izu Is-Japan,Japan,Stratovolcano,Historical,3,v
1780,9,9,9/9/1780,TSU,,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano,Historical,4,v
1781,4,11,4/11/1781,TSU,,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano,Historical,4,v
1783,8,5,8/5/1783,,,Asama,Honshu-Japan,Japan,Complex volcano,Historical,4,v
1784,4,,4/1/1784,,,Grimsvotn,Iceland-NE,Iceland,Caldera,Historical,4,v
1785,4,18,4/18/1785,,,Aoga-shima,Izu Is-Japan,Japan,Stratovolcano,Historical,3,v
1790,11,,11/1/1790,,,Kilauea,Hawaiian Is,United States,Shield volcano,Historical,4,v
1794,6,15,6/15/1794,,,Vesuvius,Italy,Italy,Complex volcano,Historical,3,v
1800,,,1/1/1800,,,St. Helens,US-Washington,United States,Stratovolcano,Historical,5,v
1804,,,1/1/1804,,,Shikotsu,Hokkaido-Japan,Japan,Caldera,Historical,3,v
1812,4,27,4/27/1812,,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,Stratovolcano,Historical,4,v
1812,8,6,8/6/1812,,,Awu,Sangihe Is-Indonesia,Indonesia,Stratovolcano,Historical,3,v
1814,2,1,2/1/1814,,,Mayon,Luzon-Philippines,Philippines,Stratovolcano,Historical,4,v
1815,4,10,4/10/1815,TSU,,Tambora,Lesser Sunda Is,Indonesia,Stratovolcano,Historical,7,v
1817,,,1/1/1817,,,Raung,Java,Indonesia,Stratovolcano,Historical,4,v
1818,2,5,2/5/1818,,,Colima,Mexico,Mexico,Stratovolcano,Historical,4,v
1822,3,9,3/9/1822,,,Usu,Hokkaido-Japan,Japan,Stratovolcano,Historical,4,v
1822,10,8,10/8/1822,,,Galunggung,Java,Indonesia,Stratovolcano,Historical,5,v
1822,12,27,12/27/1822,,,Merapi,Java,Indonesia,Stratovolcano,Historical,3,v
1824,,,1/1/1824,,,Shishaldin,Aleutian Is,United States,Stratovolcano,Historical,3,v
1826,10,11,10/11/1826,,,Kelut,Java,Indonesia,Stratovolcano,Historical,3,v
1832,12,25,12/25/1832,,,Merapi,Java,Indonesia,Stratovolcano,Historical,3,v
1835,1,20,1/20/1835,,,Cosiguina,Nicaragua,Nicaragua,Stratovolcano,Historical,5,v
1840,7,2,7/2/1840,,,Ararat,Turkey,Turkey,Stratovolcano,Holocene,3,v
1840,,,1/1/1840,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,Stratovolcano,Historical,3,v
1840,,,1/1/1840,,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,Stratovolcano,Historical,3,v
1845,2,19,2/19/1845,,,Ruiz,Colombia,Colombia,Stratovolcano,Historical,3,v
1845,9,2,9/2/1845,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,4,v
1853,7,13,7/13/1853,,,Mayon,Luzon-Philippines,Philippines,Stratovolcano,Historical,3,v
1854,2,18,2/18/1854,,,Shiveluch,Kamchatka,Russia,Stratovolcano,Historical,5,v
1854,6,27,6/27/1854,TSU,,Alaid,Kuril Is,Russia,Stratovolcano,Historical,3,v
1856,3,2,3/2/1856,TSU,,Awu,Sangihe Is-Indonesia,Indonesia,Stratovolcano,Historical,3,v
1856,9,25,9/25/1856,,,Komaga-take,Hokkaido-Japan,Japan,Stratovolcano,Historical,4,v
1861,5,7,5/7/1861,,,Dubbi,Africa-NE,Eritrea,Stratovolcano,Historical,3,v
1861,12,29,12/29/1861,,,Makian,Halmahera-Indonesia,Indonesia,Stratovolcano,Historical,4,v
1870,,,1/1/1870,,,Iliwerung,Lesser Sunda Is,Indonesia,Complex volcano,Historical,3,v
1871,12,8,12/8/1871,,,Mayon,Luzon-Philippines,Philippines,Stratovolcano,Historical,3,v
1872,4,15,4/15/1872,,,Merapi,Java,Indonesia,Stratovolcano,Historical,4,v
1872,4,17,4/17/1872,,,Merapi,Java,Indonesia,Stratovolcano,Historical,4,v
1872,4,24,4/24/1872,,,Vesuvius,Italy,Italy,Complex volcano,Historical,3,v
1872,11,3,11/3/1872,,,Merapi,Java,Indonesia,Stratovolcano,Historical,4,v
1872,12,,12/1/1872,,,Aso,Kyushu-Japan,Japan,Caldera,Historical,3,v
1872,,,1/1/1872,,,Sinarka,Kuril Is,Russia,Stratovolcano,Historical,4,v
1874,7,3,7/3/1874,,,Miyake-jima,Izu Is-Japan,Japan,Stratovolcano,Historical,3,v
1875,3,29,3/29/1875,,,Askja,Iceland-NE,Iceland,Stratovolcano,Historical,5,v
1877,6,25,6/25/1877,,,Cotopaxi,Ecuador,Ecuador,Stratovolcano,Historical,4,v
1878,1,10,1/10/1878,TSU,,Yasur,Vanuatu-SW Pacific,Vanuatu,Stratovolcano,Historical,3,v
1878,1,,1/1/1878,TSU,,Rabaul,New Britain-SW Pac,Papua New Guinea,Pyroclastic shield,Historical,3,v
1883,8,27,8/27/1883,TSU,,Krakatau,Indonesia,Indonesia,Caldera,Historical,6,v
1883,10,6,10/6/1883,TSU,,Augustine,Alaska-SW,United States,Lava dome,Historical,4,v
1883,12,,12/1/1883,,,Bagana,Bougainville-SW Paci,Papua New Guinea,Lava cone,Historical,3,v
1885,5,25,5/25/1885,,EQ,Purace,Colombia,Colombia,Stratovolcano,Historical,3,v
1886,1,11,1/11/1886,,,Tungurahua,Ecuador,Ecuador,Stratovolcano,Historical,4,v
1886,8,31,8/31/1886,,,Niuafo'ou,Tonga-SW Pacific,Tonga,Shield volcano,Historical,4,v
1887,3,9,3/9/1887,,,Mayon,Luzon-Philippines,Philippines,Stratovolcano,Historical,3,v
1888,3,13,3/13/1888,TSU,,Ritter Island,New Guinea-NE of,Papua New Guinea,Stratovolcano,Historical,3,v
1888,7,15,7/15/1888,,,Bandai,Honshu-Japan,Japan,Stratovolcano,Historical,4,v
