I_D,YEAR,MONTH,DAY,date,HOUR,MINUTE,SECOND,FOCAL_DEPTH,intensity,COUNTRY,STATE,LOCATION_NAME,,type
5233,1990,4,26,4/26/1990,9,37,15,8,6.9,CHINA,,CHINA:  QINGHAI PROVINCE:  GANGHE-XINGHAI,,e
5235,1990,5,5,5/5/1990,7,21,29.5,10,5.4,ITALY,,ITALY:  POTENZA,,e
5236,1990,5,13,5/13/1990,4,23,9.6,21,6.3,NEW ZEALAND,,"NEW ZEALAND:  DANNEVIRKE,  WELLINGTON",,e
5237,1990,5,20,5/20/1990,2,22,1.6,15,7.1,SUDAN,,"SUDAN:  JUBA, MAYA;  UGANDA: NAKURA",,e
5239,1990,5,24,5/24/1990,20,0,8.1,16,7,SUDAN,,"SUDAN:  JUBA, KAPENGURIA",,e
5240,1990,5,30,5/30/1990,2,34,5.8,24,6.5,PERU,,PERU:  MOYABAMBA-RIOJO,,e
5241,1990,5,30,5/30/1990,10,40,6.1,89,6.7,ROMANIA,,"ROMANIA:  BUCHAREST, BRAILA, BRASOV",,e
5242,1990,5,31,5/31/1990,0,17,47.8,88,6.1,ROMANIA,,"ROMANIA:  KISHINEV, CIS",,e
5243,1990,6,8,6/8/1990,0,31,50,10,4.6,COSTA RICA,,COSTA RICA:  SANTIAGO DE PURISCAL,,e
5244,1990,6,9,6/9/1990,1,14,34.5,26,4.9,PERU,,"PERU:  N, RIOJA, MOYOBAMBA, IQUITOS",,e
5245,1990,6,14,6/14/1990,7,40,56.2,18,7.1,PHILIPPINES,,"PHILIPPINES:  CULASI, PANAY",,e
5246,1990,6,14,6/14/1990,12,47,28.8,58,6.8,KAZAKHSTAN,,"KAZAKHSTAN:  UST, ZAYSAN",,e
5247,1990,6,17,6/17/1990,4,51,45.5,15,6.3,PAKISTAN,,PAKISTAN:  BALUCHISTAN,,e
5248,1990,6,20,6/20/1990,21,0,9.9,19,7.3,IRAN,,"IRAN:  RASHT, QAZVIN, ZANJAN,  RUDBAR, MANJIL",,e
5250,1990,6,21,6/21/1990,9,2,14.6,15,5.3,IRAN,,"IRAN:  LOWSHAN, MANJIL",,e
5251,1990,7,6,7/6/1990,0,16,20.4,14,4.8,INDONESIA,,"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA",,e
5252,1990,7,13,7/13/1990,14,20,43.4,217,5.6,AFGHANISTAN,,AFGHANISTAN:  HINDU KUSH:  PIK LENINA,,e
5253,1990,7,16,7/16/1990,7,26,34.6,25,7.8,PHILIPPINES,,"PHILIPPINES:  BAGUIO,  CABANATUAN, DAGUPAN",,e
5255,1990,7,18,7/18/1990,11,29,24.9,17,5.1,TURKEY,,"TURKEY:  CAMELI, DENIZLI",,e
5256,1990,7,27,7/27/1990,12,37,59.5,126,6.4,VANUATU,,VANUATU ISLANDS:  ESPIRITU SANTO,,e
5257,1990,8,3,8/3/1990,9,15,6.1,33,6.1,KAZAKHSTAN,,"KAZAKHSTAN:  AKKAL, UST",,e
5258,1990,8,11,8/11/1990,2,59,54.9,5,4.4,ECUADOR,,"ECUADOR:  PAMASQUI,  QUITO",,e
6602,1990,9,23,9/23/1990,21,13,7.4,10,6.5,JAPAN,,"JAPAN:  W. OF BONIN ISLANDS, IZU IS.",,e
5259,1990,9,26,9/26/1990,23,8,23.9,5,4.2,SOUTH AFRICA,,SOUTH AFRICA:  WELKOM,,e
5260,1990,9,27,9/27/1990,21,12,32.5,33,4.5,KAZAKHSTAN,,KAZAKHSTAN:  ZAYSAN,,e
5261,1990,10,18,10/18/1990,9,30,44.4,5,4,SOUTH AFRICA,,SOUTH AFRICA:  CHARLETONVILLE,,e
5262,1990,10,20,10/20/1990,8,7,27.5,12,5.8,CHINA,,CHINA:  GANSU PROVINCE:  TIANZHU,,e
5263,1990,10,25,10/25/1990,4,53,59.9,114,6,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND",,e
5264,1990,11,6,11/6/1990,18,45,52.2,11,6.7,IRAN,,"IRAN:  S, DARAB",,e
5265,1990,11,15,11/15/1990,2,34,32.4,48,6.8,INDONESIA,,"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE",,e
5266,1990,11,27,11/27/1990,4,37,58.5,24,5.6,BOSNIA-HERZEGOVINA,,BALKANS NW:  BOSNIA-HERZEGOVINA:  TITOGRAD,,e
5267,1990,12,1,12/1/1990,18,9,28.8,29,4.6,KYRGYZSTAN,,KYRGYZSTAN:  UZGEN,,e
5268,1990,12,13,12/13/1990,0,24,25.7,11,5.3,ITALY,,ITALY:  SICILY:  CARLENTINI,,e
5269,1990,12,13,12/13/1990,3,1,48,12,6.2,TAIWAN,,"TAIWAN:  HUALIEN,  TAIPEI",,e
7802,1990,12,13,12/13/1990,19,50,17.8,10,6.3,TAIWAN,,TAIWAN:  HUA-LIEN,,e
5270,1990,12,21,12/21/1990,6,57,42.9,13,5.9,GREECE,,"GREECE:  EDHESSA, KILKIS",,e
5271,1990,12,22,12/22/1990,17,27,54.8,17,5.7,COSTA RICA,,"COSTA RICA:  ALAJUELA, SANTIAGO DE PURISCAL",,e
8958,1990,12,30,12/30/1990,19,14,18.9,179,7.5,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN,,e
5272,1991,1,5,1/5/1991,14,57,11.5,20,7.1,MYANMAR (BURMA),,"MYANMAR (BURMA):  THABEIKKYIN, MANDALAY",,e
5274,1991,1,31,1/31/1991,23,3,33.6,142,6.4,AFGHANISTAN,,"AFGHANISTAN:  BADAKHSTAN, BAGHLAN, LAGHMAN, NAGARHAR",,e
6478,1991,2,9,2/9/1991,16,18,58.3,10,6.9,SOLOMON ISLANDS,,SOLOMON ISLANDS,,e
5275,1991,2,13,2/13/1991,15,49,38.9,5,3.8,FRANCE,,FRANCE,,e
6479,1991,2,16,2/16/1991,1,23,40.4,39,5.7,RUSSIA,,RUSSIA:  KURIL ISLANDS,,e
6480,1991,2,21,2/21/1991,2,35,34,20,6.7,BERING SEA,AK,BERING SEA,,e
5276,1991,2,25,2/25/1991,14,30,27.6,21,6.1,CHINA,,CHINA:  S XINJIANG:  KALPIN,,e
5277,1991,3,25,3/25/1991,18,2,41.5,10,5.5,CHINA,,"CHINA:  NE, DATONG",,e
5278,1991,4,4,4/4/1991,15,23,20.7,21,6.4,PERU,,"PERU:  RIOJA, NEUVA CAJAMARCA",,e
5279,1991,4,5,4/5/1991,4,19,49.5,20,6.7,PERU,,"PERU:  RIOJA, MOYOBAMBA, NUEVA CAJAMARCA",,e
5280,1991,4,18,4/18/1991,9,18,30.4,33,5.1,AFGHANISTAN,,AFGHANISTAN:  BADAKHSTAN PROVINCE,,e
5281,1991,4,20,4/20/1991,17,8,20.2,33,4.1,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  BADAKHSTAN, KABUL",,e
5282,1991,4,22,4/22/1991,21,56,51.8,10,7.6,COSTA RICA,,"COSTA RICA:  LIMON, PANDORA;  PANAMA",,e
5285,1991,4,24,4/24/1991,10,54,35.7,33,4.5,TURKEY,,TURKEY:  ERZURUM PROVINCE,,e
5286,1991,4,29,4/29/1991,9,12,48.1,17,7,GEORGIA,,"GEORGIA:  DZHAVA, CHIATURA, AMBROLAURI",,e
5288,1991,5,4,5/4/1991,3,42,54.5,10,6.2,PANAMA,,"PANAMA:  CHANGUINOLA, ALMIRANTE, BOCAS DEL TORO",,e
5289,1991,5,15,5/15/1991,14,28,50.1,14,4.9,GEORGIA,,GEORGIA:  KHEKHETI,,e
5290,1991,5,26,5/26/1991,10,59,48.9,33,4.5,MALAYSIA,,MALAYSIA:  KALIMANTAN:  RANAU,,e
5291,1991,6,15,6/15/1991,0,59,20.3,9,6.1,GEORGIA,,"GEORGIA:  DZHAVA, TSKHINVALI, OSSETIA",,e
